,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Agriculture, forestry, and fishing, value added (% of GDP)",CO2 emissions (metric tons per capita),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",GDP growth (annual %),GDP per capita growth (annual %),Individuals using the Internet (% of population),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),Rural population (% of total population),Secure Internet servers (per 1 million people),Trade in services (% of GDP),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",cluster
Haiti,2.73942779,79.04073334,18.49763132,0.266273568,10.23136303,9.037,28.6590004,23.26199913,2.776300137,1.331109984,12.32610358,28.50699997,38.59199905,68.25273558,49.5,63.63269287,51.508,4.552753022,20.37891896,72.26900101,0
Guinea-Bissau,7.432302791,53.05611801,44.13561101,0.160335469,6.028466299,10.499,68.13800049,50.12200165,0.964560751,-1.671171599,3.930509152,50.45700073,53.88600159,71.29240008,54.0,64.12550905,59.492,2.735011317,15.51143871,75.73999786,0
Guinea,8.844914377,87.0,17.54527212,0.213752571,3.789550811,9.67,61.74200058,39.93799973,3.696541182,1.295762762,18.0,48.3390007,36.14400101,94.15602819,64.9,62.64186336,66.034,1.574471812,6.934072373,89.37400246,0
Ghana,60.35755698,94.18721771,20.45249595,0.560735246,4.674267769,7.798,29.26499939,37.47200012,2.897438837,0.566072146,39.0,38.57600021,43.80599976,125.7069529,34.9,77.39299425,48.606,94.22600939,12.47057112,68.70099831,0
"Gambia, The",28.80765463,76.0,26.22212251,0.253640982,4.014417157,8.46,27.12100029,35.97399902,-1.407382495,-4.34615116,19.83645444,36.96500015,45.25600052,130.1943563,39.0,77.21252861,43.616,47.87943777,21.33440258,72.05099964,0
Ethiopia,15.49694664,92.02026367,41.23950553,0.126763767,4.468977824,7.218,66.1289978,68.66400146,10.25749296,7.213187282,18.61805145,67.38400269,74.46099854,41.96106195,39.1,36.73983306,82.265,0.714285553,13.31194765,85.97100067,0
Mozambique,0.926828089,72.2,23.50395072,0.320857023,4.483826458,10.628,70.33499908,57.77999878,7.398512797,4.434559392,10.0,62.05899811,62.02399826,74.45799316,54.0,46.72533374,67.664,7.748959676,24.73441514,83.14599991,0
Myanmar,47.60191631,92.24079132,29.53372536,0.312686183,1.784107089,8.377,48.88899994,48.63899994,7.990915597,7.10610606,30.67818311,42.8030014,58.57400131,77.81539875,36.8,75.75213459,70.925,9.909599538,8.136754902,59.05900192,0
Namibia,31.28549821,72.20340729,7.53002587,1.645240892,9.822425991,9.009,22.13299942,17.87599945,5.757788847,3.900748634,51.0,26.69199944,32.48199844,110.1478506,29.0,81.19610017,57.363,119.4537758,15.22632805,31.0199995,0
Nepal,82.74050402,95.75,31.53460361,0.298463303,5.078438297,6.555,65.0039978,74.37400055,5.988984661,6.032235943,34.0,78.08999634,74.04199982,101.854612,26.7,86.90636437,82.892,158.2502761,12.92627295,78.41500092,0
"Yemen, Rep.",57.41150891,85.0,7.867396368,0.955250966,4.769530892,5.974,28.97599983,19.98600006,-0.188591449,-2.802880003,26.71835477,4.377999783,47.58800125,56.69113113,42.9,59.5662387,67.636,3.377065008,10.29933757,45.62699986,0
Vanuatu,40.0490006,93.67712402,24.99241455,0.583633966,3.498279303,5.489,55.84199905,50.26900101,2.304347102,-0.507502734,25.71978784,49.63600159,60.29800034,64.47755689,22.3,88.59049401,75.439,178.6277188,56.72438884,70.41699982,0
Uganda,9.046522868,57.5,25.77605217,0.129345873,8.924943209,7.716,72.66600037,50.50500107,5.106307324,1.641212971,23.70653091,49.92200089,53.93199921,52.89740582,33.8,43.42022923,80.102,20.40694113,15.00995206,75.23900032,0
Togo,19.01219124,91.87447357,37.51484194,0.362693064,5.995885655,9.02,37.69900131,59.87200165,5.920588571,3.200959831,12.36022497,62.52600098,61.52500153,66.2993479,47.4,60.67820055,61.968,4.54635496,20.02409136,80.91100121,0
Timor-Leste,55.48149024,100.0,21.3296777,0.437168056,1.259021834,6.225,44.48199844,36.29999924,4.45067845,2.579634876,27.49273173,38.45600128,44.55699921,115.0770458,39.3,70.18645317,71.921,12.06504507,36.33787995,67.65499878,0
Tanzania,11.7593957,68.34577942,26.79086792,0.231426985,5.128773674,7.503,65.30599976,68.67900085,6.732461868,3.581372758,25.0,69.10600281,73.30799866,77.04656442,37.6,49.27417887,71.202,22.70236598,12.09699221,82.72800064,0
Tajikistan,97.8174807,99.2,21.32088785,0.559858657,5.859718099,5.322,44.92100143,21.39900017,6.705968168,4.209724631,21.96,21.59600067,32.21500015,100.4136726,30.4,74.97488157,73.479,20.0444401,9.978682001,41.7519989,0
Eswatini,59.78346879,96.73780823,10.11543454,0.823803379,8.469972759,12.153,12.45800018,13.49300003,0.913196495,0.159172806,47.0,24.38699913,26.05400085,85.23211031,43.0,65.89697843,77.3,40.89786824,8.699276979,32.63699913,0
Sudan,34.4172124,83.79334259,27.12642887,0.299732598,5.615795776,7.53,39.93899918,18.51399994,2.679425668,0.232311396,30.87029573,18.50799942,35.31800079,71.81590856,42.1,56.1067192,66.793,1.873547408,5.609448617,50.40100098,0
Senegal,38.13573009,92.40834808,13.69093736,0.661495375,4.193470627,6.319,30.04599953,25.79800034,6.613500103,3.66278105,46.0,22.55599976,33.61899948,102.6135684,31.8,75.79665353,55.812,8.820068717,14.02188786,64.62800026,0
Sao Tome and Principe,49.94801755,76.7,12.33342498,0.580793656,6.755898148,5.232,19.09499931,27.61499977,6.549934955,4.56839044,29.9312292,21.66600037,47.69800186,92.7489069,24.4,80.95905558,33.936,38.63073365,44.26168707,48.11400032,0
Rwanda,12.53564402,89.06227112,24.82671246,0.07642592,8.364737034,5.801,62.40599823,62.72399902,6.164277203,3.558051852,21.76763262,63.73300171,63.90200043,77.04779924,27.0,54.8363394,83.062,18.27903777,15.03779099,67.99599838,0
Papua New Guinea,39.44196138,82.09201813,19.26001935,0.739239066,2.293978073,7.882,58.31600189,33.9469986,13.54377062,11.28121975,11.20919659,36.24399948,34.88199997,43.90847057,38.0,38.98948278,87.0,31.04990514,10.81205046,77.92200089,0
Pakistan,55.36900337,100.0,23.83211646,0.933991503,2.344426326,7.176,36.6609993,37.9659996,4.674707981,2.507376248,15.51,18.61000061,63.0870018,63.13069982,57.2,90.15339228,64.798,115.0715794,5.8450434,55.48300171,0
Nigeria,25.90397246,81.7,20.75862283,0.737682613,3.320779279,12.994,35.09799957,25.28800011,6.309718656,3.513963445,42.0,25.72800064,32.93299866,83.26830849,75.7,65.93980606,55.634,222.8127116,4.732234838,77.61199856,0
Niger,8.142163849,47.63,32.60096595,0.106730938,6.648624688,9.511,75.06300354,61.04600143,6.564426227,2.488525266,10.22431156,50.45700073,72.02799988,44.79127561,48.0,47.14161202,83.784,0.462909985,12.26918057,93.6760025,0
Sierra Leone,1.881933731,53.2,47.98330898,0.186560088,13.28134388,13.025,54.93099976,25.61499977,4.556772366,2.274599807,9.0,33.20100021,23.1060009,78.87713099,78.5,55.7867486,60.752,1.869550511,28.75521279,86.12500334,0
Djibouti,22.13929012,70.84239197,1.194871772,0.681419523,4.738293961,8.157,33.12200165,31.6760006,7.061543242,5.226585759,55.68140925,40.31399918,39.77099991,34.3930424,49.8,75.53988504,22.936,22.2434771,63.00206188,44.74099922,0
Zimbabwe,10.94931298,85.33301544,7.144479446,0.891738608,7.694132626,9.277,66.54399872,68.19300079,2.376929327,0.596198049,27.05548769,68.52899933,80.04699707,92.34710538,33.9,65.97417143,66.985,30.55473706,11.88212872,64.73900127,0
"Congo, Rep.",24.0686042,92.41274261,4.362166032,0.666519808,1.85153503,7.406,34.13000107,33.41600037,6.779916158,4.205349659,8.65,43.08399963,41.9129982,107.4114077,36.2,69.05953919,36.288,4.69602806,30.83344882,75.97800112,0
Bhutan,92.78176987,100.0,14.09121578,1.443226953,3.269957751,6.27,55.31499863,28.02300072,5.77649568,4.479326699,48.10641588,32.43199921,30.28899956,92.83820321,24.8,95.19118109,64.415,118.0308168,16.46514521,71.47900009,0
Comoros,68.60521923,94.02900696,30.78986256,0.202812784,9.098709375,7.608,50.375,12.41300011,2.100006438,-0.304632305,8.478170295,14.36699963,13.19900036,54.64019634,51.3,80.99756556,71.96,4.914656982,16.85871965,63.70999908,0
Cote d'Ivoire,39.22569091,100.0,20.97862591,0.489631014,6.077907607,11.076,40.04899979,32.80799866,8.79407739,6.10311564,43.83992085,30.49699974,38.69100189,109.3922913,59.4,72.43720575,52.249,8.675202821,11.22919896,71.18599892,0
Angola,3.815070299,73.67466736,6.50749254,1.664740736,2.645608038,9.454,50.38000107,47.49200058,4.822625551,1.219832787,14.33907936,58.36899948,54.64599991,49.79322295,51.6,52.7573469,39.472,10.79929978,18.2819242,65.99500084,0
Bangladesh,62.35690504,97.08498383,15.493278,0.477335997,2.565937489,5.565,38.57699966,36.93899918,6.061059359,4.856108324,15.0,26.3220005,56.92599869,84.07708629,25.1,96.68811244,68.775,65.2155153,6.306469142,55.24999905,0
Benin,15.61817438,67.36009216,25.27540464,0.522592065,4.221983254,9.481,38.57799911,40.29499817,6.357679098,3.439399576,20.0,45.61500168,38.75600052,88.1051181,60.5,65.53675774,56.392,4.205739779,10.28113132,87.73200321,0
Burundi,1.934356396,61.66929626,38.3671082,0.039112493,10.06997749,8.767,92.02300262,51.92599869,4.240651644,1.021529748,2.660748535,57.87200165,48.83499908,49.18977601,41.0,58.34740799,89.085,4.618074182,12.617984,94.58099747,0
Cambodia,60.60908573,100.0,31.59506243,0.437653585,7.503531873,6.159,32.29700089,70.96499634,7.142571101,5.401782611,32.44694856,67.95700073,75.46900177,134.3338529,24.0,72.25059394,79.337,55.15504815,35.29128094,50.27900171,0
Cameroon,20.48955607,93.32572937,13.89889921,0.299738143,3.398841619,10.347,43.43700027,51.86800003,5.884059327,3.061836081,23.20297197,51.47399902,58.64199829,77.94823655,50.6,60.26988028,47.836,8.548384569,13.4054482,73.56200123,0
Belgium,100.0,100.0,0.681174913,8.347134375,10.13665572,9.3,0.961000025,24.70499992,1.57852323,1.128585855,87.67968082,27.36800003,31.13100052,113.1658212,2.9,100.0000016,2.302,8300.544045,45.44672005,10.18899989,1
Dominican Republic,93.91660825,100.0,5.304865946,2.178516992,5.665098876,6.068,9.020999908,38.23400116,7.05046369,5.818809907,67.57123468,32.74700165,55.25099945,85.56234973,24.1,95.47181031,25.173,98.1629545,14.9203823,40.39999998,1
Russian Federation,100.0,99.72133636,2.993600488,12.07751769,4.797973856,13.1,5.756999969,26.78000069,0.736267221,-1.045257463,76.00813853,28.58399963,35.12599945,156.7665611,6.1,96.57318898,26.268,3541.09719,9.069681132,5.350000024,1
Saudi Arabia,100.0,100.0,2.157306454,19.44066648,3.71177718,3.407,2.403000116,13.47599983,3.652481698,0.754234773,82.12000121,8.243000031,28.68799973,166.4563349,6.0,99.3334787,17.698,166.8018816,14.94826054,3.015999917,1
Serbia,100.0,100.0,7.414216553,5.238295195,9.113793075,14.2,15.45899963,19.99699974,-1.589506184,-1.126393172,70.33083553,22.16699982,34.59199905,103.1417597,4.8,87.7986654,44.785,5802.567151,20.13606572,24.29699898,1
Bahrain,100.0,100.0,0.274789045,23.47736317,3.576913103,2.337,0.986000001,39.04299927,4.350390853,2.706652046,95.87813575,27.24600029,51.23899841,183.6245336,6.1,100.0,11.305,359.4199484,45.93214155,1.081,1
Samoa,99.68746977,100.0,9.712510781,1.087388995,5.42492196,5.554,30.3939991,25.77599907,0.078245335,-0.704799603,33.61093932,24.86499977,37.48099899,62.27850325,13.6,95.87205981,80.143,296.899955,36.1011463,29.98300028,1
Belarus,100.0,100.0,6.809122268,6.628420401,4.874385521,12.8,11.01799965,40.39199829,1.726384854,1.63497133,74.43644541,43.27899933,46.11299896,121.2815762,2.6,96.72971395,24.812,2259.886649,17.39960901,3.286999948,1
Portugal,100.0,100.0,2.095482699,4.293477531,9.531158954,10.1,5.850999832,28.14800072,0.792190538,1.337120205,73.79121395,32.32400131,36.67399979,112.9851121,3.1,99.86824691,38.833,12464.78258,20.27362714,11.84800011,1
Qatar,100.0,100.0,0.096078212,43.52329337,1.599962078,1.127,1.194000006,63.32699966,3.978882147,-1.205859563,97.38884917,35.44599915,73.36100006,145.7868972,5.8,99.81490083,1.398,401.1415468,22.49266643,0.144000003,1
Singapore,100.0,100.0,0.034427182,10.35594282,3.189135343,4.7,0.726000011,38.34999847,3.938002729,2.59715384,84.44953878,40.67300034,43.63600159,147.2259695,2.3,100.0,0.0,58690.33345,101.7769043,9.665999621,1
Poland,100.0,100.0,2.873929851,7.522360976,6.233820692,9.9,9.234999657,31.02700043,3.318447537,3.395806446,75.98536595,30.68099976,39.37400055,143.3904315,3.8,98.36995636,39.22,6534.934485,15.65854467,16.05900002,1
Philippines,83.19498028,97.50857544,12.4734251,1.039832564,4.206093773,5.78,23.40500069,34.87200165,6.347987483,4.611106406,60.05476033,28.49799919,45.34700012,115.3994392,22.5,91.59082269,54.478,87.84551937,15.60412386,32.69899893,1
Peru,76.69268862,99.0,6.668310165,1.705884134,4.624898732,5.324,27.38599968,56.47700119,2.382157372,1.305704682,48.72763146,58.3370018,65.19400024,112.3563679,11.1,88.93096555,23.383,218.5769966,6.816367805,50.41799927,1
Paraguay,98.58271444,100.0,13.11109624,0.864029477,5.053712428,5.412,20.12999916,52.18999863,4.860890371,3.442783303,61.07575622,46.50999832,70.77799988,110.8127891,17.2,94.5970072,40.416,186.8339036,5.226493031,37.48400021,1
Belize,87.55832538,98.25957489,13.71177979,1.400941234,5.634397268,4.603,16.84600067,42.02099991,3.635359987,1.391470821,47.0826258,36.36600113,62.63999939,58.72170181,11.2,95.8901849,54.772,8002.256706,43.23459904,29.62200046,1
Panama,87.03669513,99.93820953,2.944517544,2.847076691,6.617531925,4.985,13.95199966,40.06600189,5.066743218,3.292575557,57.86509007,32.60300064,56.1269989,144.6881141,13.1,94.4641652,34.563,2151.325214,32.80790842,34.21799946,1
Oman,100.0,100.0,1.303915808,15.20154274,2.547766082,2.592,4.559999943,35.97299957,2.75220026,-3.944121487,80.18563573,14.10900021,61.61399841,155.7561043,9.8,88.99131473,23.817,141.8793875,16.21300749,2.633000016,1
Norway,100.0,100.0,1.31530621,9.328763622,8.779023588,7.9,2.055000067,49.16400146,1.969544301,0.826056236,96.3576013,54.37200165,54.08599854,109.905197,2.1,99.9999976,20.545,14572.57273,21.45318804,4.906000108,1
North Macedonia,100.0,100.0,10.02747609,3.628569985,6.518873572,9.73,15.37699986,18.89299965,3.629123513,3.543936934,74.51682418,21.87199974,39.70100021,100.2046334,8.7,93.17531103,42.908,498.0797273,25.99719818,19.02799988,1
Romania,100.0,100.0,5.377715712,3.490367336,4.699015617,12.8,21.70599937,25.09799957,3.4108091,3.798887022,63.74728218,24.13100052,34.87099838,116.0341126,6.1,100.0,46.04,12255.29412,16.70507259,23.72199917,1
Slovak Republic,100.0,100.0,2.732007578,5.661581328,7.418328524,9.5,2.184000015,26.57999992,2.752434331,2.652766168,81.62566752,24.04800034,39.01800156,122.8114558,4.6,99.52016903,45.58,6963.666929,17.83615792,11.79799993,1
Spain,100.0,100.0,2.622340613,5.033824487,9.078246355,8.5,4.09100008,22.35099983,1.383907943,1.687449704,84.6022428,31.08200073,35.42699814,109.4186042,2.5,99.95663527,21.327,7247.039034,14.91746891,10.98200044,1
South Africa,75.36353142,92.0568924,2.097756311,8.882321727,7.497315109,10.044,5.087999821,11.06799984,1.846991604,0.247278816,56.16739447,22.38599968,27.85700035,158.8829468,28.5,90.99049731,37.254,9430.697312,9.652521806,10.29799986,1
Algeria,99.76456493,100.0,9.851693006,3.735802777,5.267480761,4.709,9.855999947,17.89500046,3.800000001,1.710449517,47.69105515,8.416000366,41.67900085,108.8089403,20.1,93.05519235,31.764,63.32570155,7.184300418,26.9929992,1
Vietnam,99.69692662,100.0,17.96358637,1.824531973,5.87397553,6.06,37.35800171,52.80099869,5.983654637,4.872999042,58.14,53.11000061,60.57899857,129.8315152,16.5,91.04709896,68.92,1348.715951,13.67849815,54.07400036,1
"Venezuela, RB",100.0,100.0,4.902550073,6.161191593,7.177112997,6.197,8.305999756,27.52700043,-3.894386475,-4.731050162,72.0,22.97400093,44.57300186,96.71458807,21.4,95.94233354,11.892,293.4971065,3.971727974,35.6100018,1
Uzbekistan,100.0,100.0,29.4965853,3.420722746,5.675463378,4.9,23.92399979,40.75699997,7.17939955,5.386554147,52.30510079,34.86600113,56.86000061,70.42874879,19.1,97.12731239,48.85,202.1698993,6.847662934,41.97700024,1
Uruguay,100.0,100.0,7.616200626,1.984240835,8.635289967,9.423,8.119000435,35.6609993,3.238791216,2.904977794,68.27966256,42.81000137,54.73799896,151.390984,6.4,98.88006731,5.388,1103.692379,16.77490343,24.31999999,1
United States,100.0,100.0,1.333513679,16.41657591,16.37629271,8.237,1.340000033,47.08499908,2.451973035,1.709321538,87.26611282,50.95600128,51.99200058,119.1439209,5.6,99.24795496,19.056,30350.78432,6.973345937,3.836999949,1
United Kingdom,100.0,100.0,0.672181107,6.497340931,8.37611109,8.8,1.034000039,50.14199829,2.607475906,1.854584596,94.62,55.13100052,57.88899994,120.3319425,3.6,99.99999849,18.43,21195.88532,20.52596578,12.99799958,1
Ukraine,100.0,100.0,8.78638928,5.046562571,6.81617707,14.7,14.47799969,26.22299957,-6.552631294,-1.144921089,58.88947945,28.17300034,36.2140007,142.0030379,7.5,94.02839527,31.311,3948.260511,20.40846726,14.85200046,1
Argentina,98.1367605,100.0,6.052918437,4.588229602,8.396562934,7.651,0.092,28.78199959,-2.512615321,-3.57858051,74.29490687,31.44000053,45.45999908,143.566834,8.8,98.93041181,9.01,1628.591391,5.972422727,21.80499911,1
Turkey,100.0,100.0,6.725324577,4.478823888,4.687921703,5.436,18.37599945,34.00600052,5.166690703,3.39192849,64.68461768,31.45400047,57.14300156,93.77284502,9.1,98.54240105,28.598,3351.870016,9.652361325,27.04299927,1
Tunisia,99.9,99.9,8.890252195,2.605932406,6.43202886,6.301,13.03100014,20.63299942,2.971398345,1.945239942,64.19081023,20.68300056,43.23799896,130.5540392,14.6,94.76261698,33.062,214.2836589,17.07677616,19.9640007,1
Trinidad and Tobago,100.0,100.0,0.723133381,33.96103108,4.721979052,7.993,2.974999905,36.79399872,-0.912544969,-1.541105041,77.32605293,31.53899956,46.88899994,154.9537045,16.4,98.18496206,46.164,290.4473178,15.00600745,18.14000082,1
Slovenia,100.0,100.0,1.971225769,6.053631946,8.573946357,9.2,5.225999832,34.49900055,2.76815802,2.667133249,78.88542636,34.18399811,41.49100113,113.6504025,1.7,99.53936432,47.117,19594.09366,26.43087269,11.19599962,1
Tonga,95.52171996,98.87104797,17.58382391,1.125202914,3.857270256,7.245,24.18899918,35.35400009,2.072607261,2.820258698,41.24872764,25.40399933,47.15100098,72.92346772,13.4,99.7644711,76.557,205.8863899,27.57367551,52.24000168,1
Australia,100.0,100.0,2.278906495,15.39110908,8.54151994,6.6,2.559999943,59.0379982,2.533115447,1.015114993,86.54504885,66.9280014,67.33599854,107.6778349,3.1,99.94645085,14.7,21544.79377,8.469315173,10.63399966,1
Thailand,99.50881734,100.0,11.32221534,4.105519506,3.568261117,7.327,31.61499977,39.79999924,0.98442511,0.550276983,52.89192934,33.71099854,48.77399826,149.8111512,7.8,98.78436153,55.302,578.2846715,23.85908926,48.47200012,1
Austria,100.0,100.0,1.254721216,6.892179661,10.02613306,9.2,3.58100009,51.47299957,0.661272849,-0.122370667,87.93558659,53.29999924,58.86999893,155.2154711,2.9,100.0000028,42.885,7431.714636,28.01635703,7.385000229,1
Azerbaijan,100.0,100.0,5.36626448,3.920792371,4.508152604,5.8,35.86999893,36.61700058,2.797585434,1.522431572,79.0,42.5,43.17399979,111.1650782,19.2,88.66653307,46.363,259.4876636,19.51494414,55.2310009,1
Switzerland,100.0,100.0,0.692951418,4.357240126,10.76850593,7.8,2.948999882,63.00699997,2.449218087,1.206825758,89.68614767,67.87799835,68.19599915,135.5130156,3.7,100.0,26.369,32951.99625,31.02569882,8.941000104,1
Sweden,100.0,100.0,1.466540019,4.484611458,10.66594943,9.2,1.648000002,44.63000107,2.657798275,1.644244006,95.51006745,55.43899918,53.18799973,129.4305347,2.2,99.99999619,14.703,13619.1204,25.06316267,6.063000068,1
Suriname,88.6098388,99.0,8.485954891,4.056232637,4.721440002,7.114,7.518000126,21.92700005,0.255503145,-0.828461589,48.94517397,18.1420002,33.11399841,134.2157552,16.9,93.83448494,33.724,201.5789769,19.19219491,12.19399989,1
"Bahamas, The",100.0,100.0,0.920219262,6.341979802,6.048838049,6.661,2.138000011,41.05899811,0.736540805,-0.205232091,85.0,41.67399979,65.74099731,83.15606912,8.3,98.80143185,17.524,1508.797389,40.79995986,14.06600025,1
St. Vincent and the Grenadines,100.0,97.89046478,6.480387827,2.021109488,4.4651106,8.678,10.72700024,29.16300011,1.21403892,0.99182752,22.00427798,34.76800156,64.45899963,103.8690585,14.8,95.00283488,50.644,163.8941244,46.15143482,19.86499906,1
St. Lucia,97.72668517,97.53007507,2.627912422,2.282928389,5.612134561,7.028,17.27400017,28.23900032,1.758665901,1.311785234,50.81524478,40.48600006,62.60400009,104.8094637,14.9,97.42607817,81.55,193.4182532,64.46285558,29.597,1
Sri Lanka,93.07926149,100.0,7.666516518,0.862657426,3.716934845,6.282,24.5170002,23.61599922,4.960700592,3.985755206,34.1133479,20.08099937,39.98300171,114.308452,6.4,87.09783347,81.789,305.2135796,11.75685678,38.99600029,1
Bolivia,74.33850134,99.82462311,9.966979415,1.898829283,5.492545664,6.966,30.70899963,46.26900101,5.460567154,3.843757228,43.83227607,43.66699982,55.52899933,93.49660939,21.8,90.11291252,33.126,109.5341724,12.77924852,63.22400093,1
Armenia,100.0,100.0,18.43476288,1.898719374,9.375878423,9.796,29.63800049,22.46100044,3.6,3.07285853,64.74488433,30.83399963,38.40299988,118.4217138,11.0,99.26163137,36.66,271.3248975,28.88923203,38.66799879,1
Nicaragua,62.87525613,99.93318939,16.49136375,0.761728045,7.42443651,5.029,30.65200043,43.87200165,4.78581617,3.41637678,27.86304001,29.35099983,70.21399689,116.7261909,15.7,81.41180434,42.887,122.3207105,18.51273157,40.86999989,1
Bosnia and Herzegovina,100.0,100.0,6.841390006,5.578265037,9.178560227,10.194,15.38300037,20.10099983,1.148032021,2.905462898,64.89197728,24.22299957,41.9620018,100.4128758,5.0,96.35200229,54.122,1499.018209,11.79388304,16.15399957,1
Netherlands,100.0,100.0,1.790864893,10.01385146,10.23357883,8.3,2.035000086,64.2990036,1.42339541,1.059101269,93.19727891,69.6740036,67.6989975,122.8506375,3.3,100.0000022,12.121,70412.12761,35.68188742,12.65300006,1
Ireland,100.0,100.0,1.088212973,7.300555849,10.68889946,6.3,4.618999958,40.5379982,8.556687985,7.766030481,84.11400706,44.98699951,48.21900177,105.3646002,3.1,97.3489205,38.258,38597.46707,107.7144068,10.6099996,1
Iraq,97.89846362,99.9,4.768217341,4.842168931,2.791318111,5.057,18.09900093,20.39800072,0.7,-2.97222802,49.35999889,4.998000145,48.47299957,94.34036257,22.5,92.81964656,30.732,10.41201183,9.544153216,19.79299974,1
Indonesia,94.91776422,99.88,13.35669916,1.450032294,2.955420315,6.437,28.63500023,39.32300186,5.006668426,3.63914313,32.2924419,37.86500168,56.42499924,131.1804585,21.1,86.53343441,49.405,1280.673602,6.406668687,47.8949995,1
Colombia,91.7902476,100.0,5.392714954,1.845475959,6.790699065,5.373,16.61300087,42.65100098,4.499030001,3.449034009,62.25988032,44.12099838,60.93000031,120.636922,12.2,96.00554539,21.665,462.9755924,5.650360285,47.05699992,1
Iceland,100.0,100.0,5.84174518,6.059657407,8.251312375,6.3,3.937999964,73.72899628,2.08262316,0.953242975,98.26,81.02799988,78.94000244,116.2534861,1.5,99.99999883,6.413,57638.32266,41.68771251,8.107999831,1
Hungary,100.0,100.0,3.925048416,4.190127409,7.542963326,12.8,4.699999809,28.12199974,4.195082409,4.476140223,76.75054712,26.73500061,36.27000046,101.2544484,3.6,99.96997877,30.642,13627.14174,31.10815195,6.024000153,1
Honduras,79.0115274,100.0,12.19112794,1.061742673,8.793432266,4.431,30.26000023,51.97999954,3.058080562,1.250591786,31.7,40.77199936,74.4940033,88.31847018,15.1,92.62791682,47.457,79.54172934,21.91768935,41.38999939,1
